AIMed_d30_1	Gene	Gene	T1	T2	True	0	What is [AIMED] ? [SEP] Isolation of human @GeneSrc$ and its binding specificity with @GeneTgt$.		AIMED-Association
AIMed_d30_2	Gene	Gene	T3	T4	True	0	What is [AIMED] ? [SEP] We screened proteins for interaction with @GeneSrc$, and cloned the full-length cDNA of human @GeneTgt$, which encoded 1225 amino acids.		AIMED-Association
AIMed_d30_3	Gene	Gene	T6	T7	True	0	What is [AIMED] ? [SEP] Yeast two-hybrid assay, GST binding assay and immunoprecipitation demonstrated that delta-catenin interacted with a hydrophilic loop region in the endoproteolytic C-terminal fragment of @GeneSrc$, but not with that of @GeneTgt$.		None-AIMED
AIMed_d30_3	Gene	Gene	T5	T6	True	0	What is [AIMED] ? [SEP] Yeast two-hybrid assay, GST binding assay and immunoprecipitation demonstrated that @GeneSrc$ interacted with a hydrophilic loop region in the endoproteolytic C-terminal fragment of @GeneTgt$, but not with that of PS-2.		AIMED-Association
AIMed_d30_3	Gene	Gene	T5	T7	True	0	What is [AIMED] ? [SEP] Yeast two-hybrid assay, GST binding assay and immunoprecipitation demonstrated that @GeneSrc$ interacted with a hydrophilic loop region in the endoproteolytic C-terminal fragment of PS1, but not with that of @GeneTgt$.		None-AIMED
AIMed_d30_4	Gene	Gene	T8	T9	True	0	What is [AIMED] ? [SEP] These results suggest that @GeneSrc$ and @GeneTgt$ partly differ in function.		None-AIMED
AIMed_d30_6	Gene	Gene	T11	T12	True	0	What is [AIMED] ? [SEP] We also found another @GeneSrc$, @GeneTgt$, interacted with PS1.		None-AIMED
AIMed_d30_6	Gene	Gene	T12	T13	True	0	What is [AIMED] ? [SEP] We also found another armadillo-protein, @GeneSrc$, interacted with @GeneTgt$.		AIMED-Association
AIMed_d30_6	Gene	Gene	T11	T13	True	0	What is [AIMED] ? [SEP] We also found another @GeneSrc$, p0071, interacted with @GeneTgt$.		None-AIMED
AIMed_d192_1	Gene	Gene	T2	T3	True	0	What is [AIMED] ? [SEP] Activation of @GeneSrc$ng factor mediated by @GeneTgt$beta converting enzyme</T4>.		None-AIMED
AIMed_d192_2	Gene	Gene	T7	T9	True	0	What is [AIMED] ? [SEP] The @GeneSrc$ converting enzyme (ICE) processes the inactive @GeneTgt$ precursor to the proinflammatory cytokine.		None-AIMED
AIMed_d192_2	Gene	Gene	T7	T8	True	0	What is [AIMED] ? [SEP] The @GeneSrc$ converting enzyme (@GeneTgt$) processes the inactive IL-1beta precursor to the proinflammatory cytokine.		None-AIMED
AIMed_d192_2	Gene	Gene	T8	T9	True	0	What is [AIMED] ? [SEP] The interleukin-1beta (IL-1beta) converting enzyme converting enzyme (@GeneSrc$) processes the inactive @GeneTgt$ precursor to the proinflammatory cytokine.		None-AIMED
AIMed_d192_3	Gene	Gene	T10	T13	True	0	What is [AIMED] ? [SEP] @GeneSrc$ was also shown to cleave the precursor of interferon-gammagamma inducing factor</T12> (@GeneTgt$) at the authentic processing site with high efficiency, thereby activating IGIF and facilitating its export.		AIMED-Association
AIMed_d192_3	Gene	Gene	T10	T14	True	0	What is [AIMED] ? [SEP] @GeneSrc$ was also shown to cleave the precursor of interferon-gammagamma inducing factor</T12> (IGIF) at the authentic processing site with high efficiency, thereby activating @GeneTgt$ and facilitating its export.		AIMED-Association
AIMed_d192_3	Gene	Gene	T11	T13	True	0	What is [AIMED] ? [SEP] ICE was also shown to cleave the precursor of @GeneSrc$gamma inducing factor</T12> (@GeneTgt$) at the authentic processing site with high efficiency, thereby activating IGIF and facilitating its export.		None-AIMED
AIMed_d192_3	Gene	Gene	T10	T11	True	0	What is [AIMED] ? [SEP] @GeneSrc$ was also shown to cleave the precursor of @GeneTgt$gamma inducing factor</T12> (IGIF) at the authentic processing site with high efficiency, thereby activating IGIF and facilitating its export.		None-AIMED
AIMed_d192_3	Gene	Gene	T13	T14	True	0	What is [AIMED] ? [SEP] ICE was also shown to cleave the precursor of interferon-gammagamma inducing factor</T12> (@GeneSrc$) at the authentic processing site with high efficiency, thereby activating @GeneTgt$ and facilitating its export.		None-AIMED
AIMed_d192_3	Gene	Gene	T11	T14	True	0	What is [AIMED] ? [SEP] ICE was also shown to cleave the precursor of @GeneSrc$gamma inducing factor</T12> (IGIF) at the authentic processing site with high efficiency, thereby activating @GeneTgt$ and facilitating its export.		None-AIMED
AIMed_d192_4	Gene	Gene	T15	T16	True	0	What is [AIMED] ? [SEP] Lipopolysaccharide-activated @GeneSrc$-deficient (ICE-/-) Kupffer cells synthesized the @GeneTgt$ precursor but failed to process it into the active form.		None-AIMED
AIMed_d192_5	Gene	Gene	T18	T19	True	0	What is [AIMED] ? [SEP] Interferon-gamma and @GeneSrc$ were diminished in the sera of @GeneTgt$-/- mice exposed to Propionibacterium acnes and lipopolysaccharide.		None-AIMED
AIMed_d192_5	Gene	Gene	T17	T18	True	0	What is [AIMED] ? [SEP] @GeneSrc$ and @GeneTgt$ were diminished in the sera of ICE-/- mice exposed to Propionibacterium acnes and lipopolysaccharide.		None-AIMED
AIMed_d192_5	Gene	Gene	T17	T19	True	0	What is [AIMED] ? [SEP] @GeneSrc$ and IGIF were diminished in the sera of @GeneTgt$-/- mice exposed to Propionibacterium acnes and lipopolysaccharide.		None-AIMED
AIMed_d143_1	Gene	Gene	T2	T3	True	0	What is [AIMED] ? [SEP] Involvement of IL-6 signal transducer @GeneSrc$ in @GeneTgt$-mediated signal transduction.		None-AIMED
AIMed_d143_1	Gene	Gene	T1	T2	True	0	What is [AIMED] ? [SEP] Involvement of @GeneSrc$ signal transducer @GeneTgt$ in IL-11-mediated signal transduction.		None-AIMED
AIMed_d143_1	Gene	Gene	T1	T3	True	0	What is [AIMED] ? [SEP] Involvement of @GeneSrc$ signal transducer gp130 in @GeneTgt$-mediated signal transduction.		None-AIMED
AIMed_d143_2	Gene	Gene	T4	T5	True	0	What is [AIMED] ? [SEP] @GeneSrc$ is a novel cytokine with a variety of biofunctions which overlap with those of @GeneTgt$.		None-AIMED
